station_name,연번,호선,층수,형식,지반고,레일면고,위도,경도,비고,station_depth,underground_floors,risk_area_count_500m,risk_area_count_1km,construction_count_500m,total_water_output_500m,ongoing_construction_500m,water_building_count_500m,road_construction_count_500m,comprehensive_risk_score,is_island_platform,is_side_platform,is_transfer_station,line_1to4,line_5to8,risk_level
가락시장,93,3,B4,상대식,116.12,91.69,37.492368,127.118101,8호선환승,19.445000000000007,1.0,0.0,0.0,0.0,2474.27,0.0,41.0,533.0,80.444854,0,1,1,1,0,Low
가산디지털단지,254,7,B4,상대식,109.59,81.82,37.480376,126.882704,1호선환승,27.77000000000001,1.0,0.0,5.0,8.0,5717.54,8.0,121.0,533.0,83.093508,0,1,1,0,1,Medium
강남,32,2,B2,상대식,118.77,105.71,37.497958,127.027539,신분당선환승,13.060000000000002,1.0,0.0,0.0,5.0,18063.8,3.0,219.0,533.0,84.31276,0,1,1,1,0,High
강남구청,238,7,B3,상대식,150.75,127.93,37.517185,127.04122,분당선환승,22.819999999999993,1.0,0.0,0.0,0.0,102.9,0.0,17.0,533.0,79.97058,0,1,1,0,1,Low
강동,160,5,B3,섬식(복합),122.5,99.18,37.53581,127.13249,둔촌~마천환승,23.319999999999993,1.0,0.0,0.0,2.0,474.55,1.0,4.0,533.0,80.29491,0,0,1,0,1,Low
강동구청,261,8,B3,상대식,116.92,94.98,37.530348,127.120461,,21.939999999999998,1.0,0.0,0.0,4.0,78.54,2.0,7.0,533.0,80.465708,0,1,0,0,1,Low
강변,24,2,고가,상대식,107.33,125.28,37.535161,127.094684,,-17.950000000000003,1.0,0.0,0.0,0.0,1101.03,0.0,22.0,533.0,80.17020600000001,0,1,0,1,0,Low
강일,173,5,B2,상대식,125.57,106.87,37.557521,127.176018,,18.69999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,79.95,0,1,0,0,1,Low
개롱,170,5,B2,상대식,129.21,113.69,37.498097,127.134817,,15.52000000000001,1.0,0.0,0.0,0.0,0.04,0.0,4.0,533.0,79.950008,0,1,0,0,1,Low
개화산,123,5,B2,상대식,109.7,101.52,37.572458,126.806838,,8.180000000000007,1.0,0.0,0.0,0.0,75.45,0.0,20.0,533.0,79.96509,0,1,0,0,1,Low
거여,171,5,B3,상대식,133.47,115.15,37.493208,127.143983,,18.319999999999993,1.0,0.0,0.0,0.0,468.84,0.0,24.0,533.0,80.043768,0,1,0,0,1,Low
건대입구,22,2,고가,상대식,111.44,125.0,37.540408,127.069231,7호선환승,-2.039999999999999,1.0,0.0,0.0,6.0,6242.16,1.0,69.0,533.0,81.448432,0,1,1,1,0,Low
