연번,시도,시군구,구간(주소),연장(m),선정사유,비고,Unnamed: 7,상세주소,전체주소,전체주소1,전체주소2,location1,lat1,lon1,location2,lat2,lon2
1.0,서울특별시,강남구,언주로(압구정동 477 ~ 개포동 1282-5),"6,700",지반침하사고 발생 빈도 높음,,,압구정동 477 ~ 개포동 1282-5,서울특별시 강남구 압구정동 477 ~ 개포동 1282-5,서울특별시 강남구 압구정동 477,서울특별시 개포동 1282-5,"압구정동, 강남구, 서울특별시, 대한민국",37.5300432,127.0313346,"개포동, 개포2동, 강남구, 서울특별시, 06331, 대한민국",37.48421,127.07006
2.0,서울특별시,강남구,선릉로(구룡마을입구교차로 ~ 압구정동 507),"6,320",지반침하사고 발생 빈도 높음,,,구룡마을입구교차로 ~ 압구정동 507,서울특별시 강남구 구룡마을입구교차로 ~ 압구정동 507,서울특별시 강남구 구룡마을입구교차로,서울특별시 압구정동 507,,,,"압구정동, 강남구, 서울특별시, 대한민국",37.5300432,127.0313346
3.0,서울특별시,구로구,서울특별시 고척동 76-368,80,관로 구간 토사 유실로 인한 도로 침하,,,,서울특별시 고척동 76-368,서울특별시 고척동 76-368,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
4.0,서울특별시,구로구,서울특별시 구로동 712-8,30,관로 구간 토사 유실로 인한 도로 침하,,,,서울특별시 구로동 712-8,서울특별시 구로동 712-8,,"구로동, 구로2동, 구로구, 서울특별시, 08284, 대한민국",37.4945849,126.8845477,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
5.0,서울특별시,구로구,구로구 고척동 76-74 ~ 구로구 고척동 77-5,290,노후 하수관로 매설,,,,구로구 고척동 76-74 ~ 구로구 고척동 77-5,서울특별시  구로구 고척동 76-74,서울특별시 구로구 고척동 77-5,"고척동, 고척1동, 구로구, 서울특별시, 08227, 대한민국",37.5034631,126.8585846,"고척동, 고척1동, 구로구, 서울특별시, 08227, 대한민국",37.5034631,126.8585846
6.0,서울특별시,광진구,자양1-2동 일대 등,"5,029",침수구간,,,,자양1-2동 일대 등,서울특별시  자양1-2동 일대 등,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
7.0,서울특별시,광진구,구의1동 일대(구의동 640-6등),"4,529",침수구간,,,구의동 640-6등,서울특별시 광진구 구의동 640-6등,서울특별시 광진구 구의동 640-6등,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
8.0,서울특별시,광진구,구의2동 일대(구의동 75-1 등),"1,354",침수구간,,,구의동 75-1 등,서울특별시 광진구 구의동 75-1 등,서울특별시 광진구 구의동 75-1 등,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
9.0,서울특별시,광진구,능동·군자동 일대(군자동 49-1 등),"2,232",침수구간,,,군자동 49-1 등,서울특별시 광진구 군자동 49-1 등,서울특별시 광진구 군자동 49-1 등,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
10.0,서울특별시,광진구,화양동 일대(화양동 37-82 등),"1,846",침수구간,,,화양동 37-82 등,서울특별시 광진구 화양동 37-82 등,서울특별시 광진구 화양동 37-82 등,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
11.0,서울특별시,광진구,광장동 188-2번지 일원,100,지하개발 공사장 주변,,,,광장동 188-2번지 일원,서울특별시  광장동 188-2번지 일원,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
12.0,서울특별시,광진구,자양4동 43-44번지 전통시장 공영주차장,200,지하개발 공사장 주변,,,,자양4동 43-44번지 전통시장 공영주차장,서울특별시  자양4동 43-44번지 전통시장 공영주차장,,,,,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38019, Italia",46.3144754,11.0480288
