시도명,시군구명,지반침하지역상세정보,위도,경도,발생일자,발생규모폭,발생규모연장,발생규모깊이,발생지역지질종류명,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태명,복구방법,복구비용,복구완료일자,데이터기준일자,주소,location,lat,lon
경기도,고양시 덕양구,행신동 1121,0.0,0.0,20190722,1.0,1.0,0.5,,맨홀 파손,0,0,0,복구완료,맨홀 주변 포장후 복구완료,0,2019-07-24,0001-01-01,경기도 고양시 덕양구 행신동 1121,"행신동, 행신1동, 덕양구, 고양시, 경기도, 10528, 대한민국",37.6194469,126.8372169
경기도,고양시 덕양구,화전동 274-3,0.0,0.0,20190822,1.0,1.0,0.5,,도로다짐 불량,0,0,0,복구완료,도로포장 복구완료,0,2019-08-24,0001-01-01,경기도 고양시 덕양구 화전동 274-3,"화전동, 덕양구, 고양시, 경기도, 대한민국",37.603131,126.8841703
경기도,고양시 덕양구,976,37.6324,126.833,20220803,1.0,1.0,1.5,,,0,0,0,복구완료,되메우기,0,2022-08-03,0001-01-01,경기도 고양시 덕양구 976,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,298-3,0.0,0.0,20190212,1.0,1.0,3.0,,하수관 손상,0,0,0,복구완료,우수관로 교체 및 도로 포장 복구 완료,0,2019-06-30,2019-11-22,경기도 고양시 덕양구 298-3,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,594-12,0.0,0.0,20190605,1.0,1.0,2.0,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-06-10,2019-11-22,경기도 고양시 덕양구 594-12,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,910-55,37.6878,126.865,20230531,1.5,1.0,1.0,,소화전 누수,0,0,0,복구완료,소방서 복구 예정,0,2023-06-01,0001-01-01,경기도 고양시 덕양구 910-55,"덕양구, 고양시, 경기도, 대한민국",37.6369,126.8322
경기도,고양시 덕양구,동산동 368-2,0.0,0.0,20190702,1.0,1.0,0.5,,맨홀 시공 불량,0,1,1,복구완료,맨홀 주변 포장후 복구완료,0,2019-07-04,0001-01-01,경기도 고양시 덕양구 동산동 368-2,"동산동, 창릉동, 덕양구, 고양시, 경기도, 10596, 대한민국",37.6416587,126.9003307
경기도,고양시 일산동구,1288-1,0.0,0.0,20190523,1.0,1.0,1.0,,하수관 손상,0,0,0,복구완료,이음부 몰탈마감 및 포장 복구 완료,0,2019-06-13,2019-11-22,경기도 고양시 일산동구 1288-1,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1510,37.6557,126.769,20220816,1.5,1.5,1.5,,다짐(되메우기) 불량,0,0,0,복구완료,긴급보수공사 실시,0,2022-08-16,0001-01-01,경기도 고양시 일산동구 1510,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.644,126.788,20220609,3.0,2.0,2.0,,"신축공사현장 3차 침하 1차(2022.5.31.), 2차(2022.6.6.)",0,0,0,임시복구,되메우기,0,2022-06-09,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.6441,126.788,20220606,5.0,1.5,2.0,,1차 사고로 인한 지반 약화 추정 *1차사고(2022.5.31.),0,0,0,임시복구,긴급 되메우기 완료,0,2022-06-06,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.644,126.788,20220531,3.0,10.0,2.0,,굴착공사 중 지반침하,0,0,0,임시복구,되메우기,0,2022-05-31,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
경기도,고양시 일산동구,1297,37.644,126.788,20221005,2.0,5.0,1.0,,굴착공사 부실,0,0,0,복구완료,되메우기,0,2022-10-05,0001-01-01,경기도 고양시 일산동구 1297,"일산동구, 고양시, 경기도, 대한민국",37.6588,126.775
